rho_active,cross_scale,rho_cross,seed,theta_raw,theta_bin,safe_raw,safe_bin
-0.15,0.6,-0.22248595461286988,2202,1.6356418645913509,0.7871122502310399,0.0,1.0
-0.15,0.6,-0.22248595461286988,2203,1.6357292504876733,0.8400024526780936,0.0,1.0
-0.15,0.65,-0.24102645083060906,2201,1.750394544283847,0.8368498402891279,0.0,1.0
-0.15,0.65,-0.24102645083060906,2202,1.7668998159906366,0.8738049211566882,0.0,1.0
-0.15,0.65,-0.24102645083060906,2203,1.7698488273520903,0.8676743802509521,0.0,1.0
-0.15,0.7,-0.2595669470483482,2201,1.8798610568539376,0.94127418309076,0.0,1.0
-0.15,0.7,-0.2595669470483482,2202,1.8938437437518043,0.9597758664909792,0.0,1.0
-0.15,0.7,-0.2595669470483482,2203,1.907092453355883,0.9444288750818384,0.0,1.0
-0.15,0.75,-0.2781074432660874,2201,2.0133528311059976,0.978025075027226,0.0,1.0
-0.15,0.75,-0.2781074432660874,2202,2.02276846488694,1.0293649183625717,0.0,0.0
-0.15,0.75,-0.2781074432660874,2203,2.042052864714562,0.9786170139553236,0.0,1.0
-0.15,0.8,-0.29664793948382656,2201,2.1469140052576137,1.0498594118741655,0.0,0.0
-0.15,0.8,-0.29664793948382656,2202,2.1514193978956646,1.0758297727968915,0.0,0.0
-0.15,0.8,-0.29664793948382656,2203,2.1763429267229943,1.0816877918698307,0.0,0.0
-0.15,0.85,-0.3151884357015657,2201,2.2808713151018667,1.1440263651467277,0.0,0.0
-0.15,0.85,-0.3151884357015657,2202,2.279843670214125,1.151360957328739,0.0,0.0
-0.15,0.85,-0.3151884357015657,2203,2.3104895360609694,1.149890246094744,0.0,0.0
-0.15,0.9,-0.33372893191930486,2201,2.415146870503915,1.1611545106574532,0.0,0.0
-0.15,0.9,-0.33372893191930486,2202,2.408034171270393,1.2383470658371443,0.0,0.0
-0.15,0.9,-0.33372893191930486,2203,2.444209047533753,1.2559157373912269,0.0,0.0
-0.15,0.95,-0.352269428137044,2201,2.5501033489607345,1.255740695962966,0.0,0.0
-0.15,0.95,-0.352269428137044,2202,2.53630792930844,1.2805063264522358,0.0,0.0
-0.15,0.95,-0.352269428137044,2203,2.577420445369496,1.2538263546779194,0.0,0.0
